AIM2	1	0	2	2	0	0	1	2	1	2	0	2	2	1	1	0	1	1	1	0	1	2	0	1	2	1	2	1	1	0	1	2	1	1	1	2	2	1	1	2	1	1	1	1	0	0	1	1	1	2	2	0	0	2	1	1	0	0	0	0	1	2	1	1	1	0	1	2	1	1	1	1	0	2	2	1	1	2	0	0	1	1	2	1	1	0	1	1	1	2	2	1	1	0	0	2	2	1	1	1	1	2	2	1	0	2	1	1	2	2	1	1	2	2	0	2	0	1	1	2	2	1	0	2	2	0	1	1	1	1	1	1	2	2	0	2	1	1	1	0	1	2	1	1	1	2	0	1	2	2	2	2	2	1	1	0	0	1	0	0	0	1	2	1	1	1	0	2	1	2	1	0	1	0	2	1	2	1	0	1	2	2	1	0	0	1	1	1	0
ALK	0	1	1	2	1	2	0	0	1	0	2	0	1	1	1	1	1	0	0	0	0	2	0	2	1	1	1	0	1	0	0	1	2	0	2	2	1	2	0	1	0	2	0	2	2	2	1	1	1	1	2	2	0	1	0	0	1	0	0	0	2	0	0	0	2	1	2	0	1	0	2	0	0	1	0	0	1	1	1	1	0	1	0	0	2	1	1	2	0	0	1	2	0	1	1	0	2	1	2	1	2	2	0	1	2	0	0	0	2	1	1	0	2	0	1	0	0	1	2	1	2	2	1	0	1	2	2	2	1	2	0	2	1	2	0	0	1	1	0	0	0	0	1	0	2	1	2	0	0	1	2	2	0	0	1	0	0	0	1	1	1	1	1	1	1	1	1	1	2	0	1	2	0	0	1	2	0	1	0	0	0	2	0	0	1	0	1	1	2
ALOX5	0	1	2	0	0	2	2	0	2	0	1	2	0	0	1	2	0	2	2	2	0	0	2	0	0	2	0	2	1	2	2	0	2	1	1	0	0	2	0	0	2	2	1	2	2	2	1	0	0	0	2	1	1	1	2	0	1	1	1	2	0	2	0	2	2	2	2	2	1	2	2	2	1	2	2	2	2	2	1	2	2	2	2	2	0	2	2	2	2	0	0	2	0	1	1	0	0	2	2	2	2	0	0	0	2	2	2	2	2	0	2	1	0	2	0	0	1	2	2	0	0	0	2	2	0	2	0	2	0	1	2	1	0	2	2	0	1	1	2	1	2	0	2	0	2	0	1	1	0	0	2	0	1	1	2	1	1	2	2	2	1	2	2	1	2	1	2	2	0	0	1	2	2	2	0	0	0	2	2	0	2	2	2	2	1	2	2	0	2
ALOX5AP	0	1	0	2	0	2	0	2	2	2	1	2	2	0	0	1	2	0	2	0	0	2	0	0	2	1	2	0	0	1	2	2	0	2	1	2	0	0	2	2	0	0	0	2	1	2	1	0	2	0	0	1	1	0	0	2	1	0	1	1	2	0	2	2	0	1	1	2	0	0	0	0	1	2	0	0	0	0	1	0	2	1	0	0	2	1	0	0	2	2	0	0	2	1	1	2	2	0	2	1	0	2	2	0	2	2	0	2	2	2	1	0	2	2	2	2	1	0	2	2	2	2	1	2	2	2	2	2	2	0	1	1	2	0	0	2	1	1	0	1	1	0	2	0	0	2	0	1	2	2	0	2	0	0	0	1	1	0	2	0	1	2	2	1	2	1	0	2	0	2	1	0	2	1	0	0	2	0	1	0	0	0	1	0	1	0	0	0	0
AMDHD1	0	2	1	0	2	0	2	0	1	0	0	1	0	2	1	1	0	1	0	1	0	2	1	1	0	2	1	0	0	0	0	0	1	2	0	0	1	2	1	0	1	1	0	1	2	0	1	0	2	0	1	0	2	1	1	2	0	2	0	0	0	1	0	0	2	0	1	1	2	0	1	0	0	1	2	2	1	0	2	2	0	1	1	0	0	1	1	0	0	2	2	2	2	0	1	0	1	0	0	0	1	0	1	2	2	0	0	0	1	0	2	0	0	0	0	0	2	1	1	2	0	2	2	0	0	2	2	1	2	1	0	0	2	1	0	1	0	2	1	0	1	1	2	0	2	0	0	1	0	0	0	2	1	0	1	2	2	2	2	0	2	1	1	1	0	1	0	1	2	1	2	1	0	0	1	2	2	1	0	1	1	1	1	1	0	2	0	0	0
AMICA1	2	1	0	1	1	1	2	1	0	0	0	0	1	0	2	0	0	2	0	1	0	1	2	0	1	0	1	0	0	0	0	0	0	2	2	1	1	1	1	1	0	0	2	0	1	0	2	0	2	0	1	2	2	0	2	0	2	2	2	2	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	1	0	1	2	2	0	1	0	0	0	0	2	0	0	1	1	0	0	2	2	1	0	2	0	0	0	1	1	2	2	0	0	0	0	0	0	2	1	0	0	1	0	2	0	2	1	2	0	0	1	1	2	2	0	0	0	0	0	1	2	1	1	0	1	0	0	0	1	1	1	1	2	1	1	0	1	1	1	0	0	2	2	0	2	2	2	0	1	2	0	2	0	2	2	1	2	0	1	0	1	1	0	1	0	1	0	1	0	2	2	0	0	0	0
AMPD3	2	0	2	0	2	2	0	0	0	0	1	1	2	2	0	2	1	2	1	1	0	2	0	0	2	0	2	0	1	0	0	0	2	2	1	1	1	1	2	0	1	1	1	2	1	2	2	0	0	2	0	2	0	0	0	0	0	1	1	0	2	1	2	0	0	0	1	1	1	0	0	0	2	1	0	0	0	1	0	2	1	0	1	0	1	0	0	0	0	2	2	0	0	0	1	0	2	0	0	0	0	0	2	2	0	0	0	0	0	0	0	1	2	2	2	0	1	1	0	0	2	2	0	0	0	0	1	2	2	2	0	2	0	0	1	2	1	1	1	1	0	2	0	0	2	2	1	2	2	2	0	2	1	1	0	1	0	2	2	0	1	0	0	1	2	0	0	0	2	0	0	1	0	2	1	2	0	0	0	2	0	1	1	0	0	0	0	2	0
ANKRD44	0	1	2	2	1	1	0	1	2	2	2	0	2	2	0	1	2	0	1	0	2	2	0	2	1	2	0	0	0	0	1	2	0	0	0	0	1	1	0	2	2	2	1	1	1	2	0	2	2	0	2	0	2	0	0	0	2	1	0	2	2	2	1	2	0	0	2	0	2	0	2	2	2	0	2	2	2	0	2	0	0	0	2	2	2	2	2	2	2	1	1	2	2	0	0	0	0	1	2	0	0	1	1	2	1	2	2	0	0	1	0	0	0	0	2	2	2	2	2	0	2	1	0	2	0	1	0	1	2	0	0	1	0	0	2	0	2	2	1	2	2	2	2	0	2	0	2	2	2	1	1	1	2	1	1	1	2	0	2	2	0	2	2	1	2	0	2	0	1	1	1	1	0	2	0	0	2	0	0	1	2	0	2	1	2	2	0	2	0
ANPEP	1	0	1	1	1	1	0	1	1	0	0	1	1	0	2	1	0	0	2	2	0	1	1	1	0	0	1	1	1	0	1	0	2	0	2	0	1	0	1	1	2	0	0	1	1	1	0	0	0	0	0	2	0	2	0	1	2	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	2	0	2	2	1	0	1	1	0	2	0	0	0	1	2	0	2	1	1	1	1	0	2	1	0	2	0	0	0	1	0	0	1	0	0	0	1	2	0	0	1	0	1	1	0	1	0	1	0	1	0	0	0	1	1	0	0	2	1	0	1	2	2	1	2	0	0	1	0	0	1	1	2	1	2	0	1	2	0	0	2	0	1	0	0	1	1	0	2	1	0	2	2	2	0	0	2	0	2	2	0	1	2	1	1	1	1	1	1	0	2	2	2	0	0	0	0
AOAH	0	0	0	1	1	0	2	1	0	0	0	0	0	0	1	0	1	2	0	1	0	0	1	0	1	1	1	0	0	2	0	0	0	1	2	1	0	0	1	1	1	2	2	2	1	2	2	1	0	0	1	2	0	0	2	1	0	2	0	0	1	0	2	0	0	0	1	1	0	1	0	0	0	1	0	1	1	0	1	2	1	0	0	0	0	1	0	0	0	0	0	1	1	0	0	1	0	2	0	0	0	0	0	2	2	1	0	2	0	1	2	1	1	1	0	1	0	0	1	0	1	2	1	1	1	1	2	2	2	0	0	2	0	1	0	1	0	0	0	0	0	1	0	0	0	1	0	0	2	0	0	0	0	2	0	2	0	0	2	2	0	1	1	0	0	0	0	1	1	0	2	1	1	0	1	2	0	1	0	1	1	1	2	0	0	0	1	0	2
